# EXPERIMENTAL: re-measured CPU cost rows, n=4096 only. NOT installed.
#
# The shipped cost.txt misranks bands: selection picks the slower one at 3
# of 8 operating points on the default reference, up to 1.84x, and
# tools/score_selection.py independently scores its pick at 52% of the best
# available. No pricing rule rescues the shipped rows -- every rule
# score_cost_rule.py implements tops out at 3 of 6 correct, and the one
# that ships is already among the best. The rows are what is wrong.
#
# These are the same cells re-measured with tools/hmf_tune.py --retune-cost,
# which could not run at all until d40f8a0 (it died on band 64's missing
# threshold after 160 rows -- a fair explanation for how the table drifted
# this far unnoticed).
#
# WHAT THEY CHANGE, measured against the clock at n=4096:
#
#   reference   snr   old pick -> new    t(old)   t(new)   effect
#   inspiral    6.0     256  ->  512      408us    207us   1.97x FASTER
#   shallow     5.5     512  -> 1024      981us    587us   1.67x FASTER
#   steep       5.5     256  ->  512      294us    208us   1.41x FASTER
#   steep       6.0     256  ->  512      136us    205us   1.50x slower
#
#   total over the four changed points: 1819us -> 1207us = 1.51x net
#
# Correct at 4 of 6 sampled points against the shipped table's 2 of 6. The
# n=4096 rows are COMPLETE -- 48 keys, 9560 rows, unchanged between two
# snapshots of the run -- so this is not a partial result.
#
# WHY NOT INSTALLED. One point regresses, which rules out "the rows were
# merely stale" -- fresher rows cannot make a correct ranking wrong -- and
# the run was stopped before covering every size the shipped table does
# (it reached n=1024, 2048, 4096, 16384 and part of 32768). Dropping these
# in wholesale would replace rows for sizes that were never re-measured.
# Installing wants a completed run and a human on the 1.50x regression.
#
# Measured on Ryzen AI Max+ 395, AVX3, with the gate as it ships.
#
# n band U K snr f beff margin relative_cost
COST 4096 128 2 4 5.00 0.829780 8.748 1.000 0.511124
COST 4096 128 2 8 5.00 0.829780 8.748 1.000 0.338296
COST 4096 256 2 4 5.00 0.876782 9.764 1.000 0.350396
COST 4096 256 2 8 5.00 0.876782 9.764 1.000 0.335558
COST 4096 512 2 4 5.00 0.935696 11.119 1.000 0.680906
COST 4096 512 2 8 5.00 0.935696 11.119 1.000 0.510908
COST 4096 1024 2 4 5.00 0.983141 12.274 1.000 0.924402
COST 4096 1024 2 8 5.00 0.983141 12.274 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 12.699 1.000 2.426271
COST 4096 2048 2 8 5.00 1.000000 12.699 1.000 2.362527
COST 4096 64 2 4 5.00 0.800000 8.137 1.000 0.313433
COST 4096 64 2 8 5.00 0.800000 8.137 1.000 0.323133
COST 4096 128 2 4 5.00 0.800000 8.137 1.000 0.470206
COST 4096 128 2 8 5.00 0.800000 8.137 1.000 0.405674
COST 4096 256 2 4 5.00 0.855225 9.296 1.000 0.307558
COST 4096 256 2 8 5.00 0.855225 9.296 1.000 0.280077
COST 4096 512 2 4 5.00 0.924446 10.859 1.000 0.429211
COST 4096 512 2 8 5.00 0.924446 10.859 1.000 0.524268
COST 4096 1024 2 4 5.00 0.980191 12.207 1.000 0.705105
COST 4096 1024 2 8 5.00 0.980191 12.207 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 12.705 1.000 1.959081
COST 4096 2048 2 8 5.00 1.000000 12.705 1.000 1.911744
COST 4096 64 2 4 5.00 0.800000 8.139 1.000 0.367593
COST 4096 64 2 8 5.00 0.800000 8.139 1.000 0.335981
COST 4096 128 2 4 5.00 0.800000 8.139 1.000 0.726073
COST 4096 128 2 8 5.00 0.800000 8.139 1.000 0.503406
COST 4096 256 2 4 5.00 0.800000 8.139 1.000 0.722054
COST 4096 256 2 8 5.00 0.800000 8.139 1.000 0.776180
COST 4096 512 2 4 5.00 0.895625 10.196 1.000 0.682142
COST 4096 512 2 8 5.00 0.895625 10.196 1.000 0.610160
COST 4096 1024 2 4 5.00 0.972635 12.023 1.000 1.227263
COST 4096 1024 2 8 5.00 0.972635 12.023 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 12.709 1.000 2.219084
COST 4096 2048 2 8 5.00 1.000000 12.709 1.000 2.294166
COST 4096 64 2 4 5.00 0.800000 8.140 1.000 0.391685
COST 4096 64 2 8 5.00 0.800000 8.140 1.000 0.417018
COST 4096 128 2 4 5.00 0.800000 8.140 1.000 0.616817
COST 4096 128 2 8 5.00 0.800000 8.140 1.000 0.374849
COST 4096 256 2 4 5.00 0.800000 8.140 1.000 0.498464
COST 4096 256 2 8 5.00 0.800000 8.140 1.000 0.738325
COST 4096 512 2 4 5.00 0.800000 8.140 1.000 0.765674
COST 4096 512 2 8 5.00 0.800000 8.140 1.000 1.188558
COST 4096 1024 2 4 5.00 0.947564 11.413 1.000 0.786565
COST 4096 1024 2 8 5.00 0.947564 11.413 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 12.710 1.000 1.965398
COST 4096 2048 2 8 5.00 1.000000 12.710 1.000 1.926943
COST 4096 64 2 4 5.00 0.800000 8.141 1.000 0.193042
COST 4096 64 2 8 5.00 0.800000 8.141 1.000 0.235093
COST 4096 128 2 4 5.00 0.800000 8.141 1.000 0.323186
COST 4096 128 2 8 5.00 0.800000 8.141 1.000 0.329107
COST 4096 256 2 4 5.00 0.800000 8.141 1.000 0.396647
COST 4096 256 2 8 5.00 0.800000 8.141 1.000 0.443502
COST 4096 512 2 4 5.00 0.800000 8.141 1.000 0.639423
COST 4096 512 2 8 5.00 0.800000 8.141 1.000 0.583920
COST 4096 1024 2 4 5.00 0.800000 8.141 1.000 0.863168
COST 4096 1024 2 8 5.00 0.800000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 12.710 1.000 1.345442
COST 4096 2048 2 8 5.00 1.000000 12.710 1.000 1.225171
COST 4096 64 2 4 5.00 1.000000 8.141 1.000 0.086478
COST 4096 64 2 8 5.00 1.000000 8.141 1.000 0.075519
COST 4096 128 2 4 5.00 1.000000 8.141 1.000 0.098019
COST 4096 128 2 8 5.00 1.000000 8.141 1.000 0.136998
COST 4096 256 2 4 5.00 1.000000 8.141 1.000 0.240826
COST 4096 256 2 8 5.00 1.000000 8.141 1.000 0.248540
COST 4096 512 2 4 5.00 1.000000 8.141 1.000 0.387544
COST 4096 512 2 8 5.00 1.000000 8.141 1.000 0.389239
COST 4096 1024 2 4 5.00 1.000000 8.141 1.000 1.076065
COST 4096 1024 2 8 5.00 1.000000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 8.141 1.000 2.634120
COST 4096 2048 2 8 5.00 1.000000 8.141 1.000 2.592353
COST 4096 64 2 4 5.00 0.800000 16.091 1.000 0.686228
COST 4096 64 2 8 5.00 0.800000 16.091 1.000 0.722483
COST 4096 128 2 4 5.00 0.829780 17.306 1.000 0.426727
COST 4096 128 2 8 5.00 0.829780 17.306 1.000 0.520687
COST 4096 256 2 4 5.00 0.876782 19.313 1.000 0.521256
COST 4096 256 2 8 5.00 0.876782 19.313 1.000 0.588328
COST 4096 512 2 4 5.00 0.935696 21.988 1.000 0.770657
COST 4096 512 2 8 5.00 0.935696 21.988 1.000 0.622495
COST 4096 1024 2 4 5.00 0.983141 24.271 1.000 1.271963
COST 4096 1024 2 8 5.00 0.983141 24.271 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 25.111 1.000 2.458750
COST 4096 2048 2 8 5.00 1.000000 25.111 1.000 2.449300
COST 4096 64 2 4 5.00 0.799719 16.100 1.000 0.407471
COST 4096 64 2 8 5.00 0.799719 16.100 1.000 0.363673
COST 4096 128 2 4 5.00 0.800000 16.112 1.000 0.611315
COST 4096 128 2 8 5.00 0.800000 16.112 1.000 0.513696
COST 4096 256 2 4 5.00 0.855225 18.402 1.000 0.547156
COST 4096 256 2 8 5.00 0.855225 18.402 1.000 0.567256
COST 4096 512 2 4 5.00 0.924446 21.491 1.000 0.419108
COST 4096 512 2 8 5.00 0.924446 21.491 1.000 0.410669
COST 4096 1024 2 4 5.00 0.980191 24.156 1.000 0.764900
COST 4096 1024 2 8 5.00 0.980191 24.156 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 25.142 1.000 1.832012
COST 4096 2048 2 8 5.00 1.000000 25.142 1.000 1.606966
COST 4096 64 2 4 5.00 0.799719 16.105 1.000 0.619723
COST 4096 64 2 8 5.00 0.799719 16.105 1.000 0.638879
COST 4096 128 2 4 5.00 0.800000 16.116 1.000 0.781626
COST 4096 128 2 8 5.00 0.800000 16.116 1.000 0.738833
COST 4096 256 2 4 5.00 0.800000 16.116 1.000 1.051543
COST 4096 256 2 8 5.00 0.800000 16.116 1.000 1.108049
COST 4096 512 2 4 5.00 0.895625 20.180 1.000 0.731503
COST 4096 512 2 8 5.00 0.895625 20.180 1.000 0.588935
COST 4096 1024 2 4 5.00 0.972635 23.792 1.000 1.075357
COST 4096 1024 2 8 5.00 0.972635 23.792 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 25.149 1.000 2.315354
COST 4096 2048 2 8 5.00 1.000000 25.149 1.000 2.163925
COST 4096 64 2 4 5.00 0.799718 16.107 1.000 0.568544
COST 4096 64 2 8 5.00 0.799718 16.107 1.000 0.499159
COST 4096 128 2 4 5.00 0.800000 16.118 1.000 0.527270
COST 4096 128 2 8 5.00 0.800000 16.118 1.000 0.684621
COST 4096 256 2 4 5.00 0.800000 16.118 1.000 0.831569
COST 4096 256 2 8 5.00 0.800000 16.118 1.000 0.898087
COST 4096 512 2 4 5.00 0.800000 16.118 1.000 0.958279
COST 4096 512 2 8 5.00 0.800000 16.118 1.000 1.123608
COST 4096 1024 2 4 5.00 0.947564 22.586 1.000 1.089574
COST 4096 1024 2 8 5.00 0.947564 22.586 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 25.152 1.000 1.685991
COST 4096 2048 2 8 5.00 1.000000 25.152 1.000 1.877508
COST 4096 64 2 4 5.00 0.799718 16.108 1.000 0.442689
COST 4096 64 2 8 5.00 0.799718 16.108 1.000 0.356191
COST 4096 128 2 4 5.00 0.800000 16.120 1.000 0.325613
COST 4096 128 2 8 5.00 0.800000 16.120 1.000 0.421765
COST 4096 256 2 4 5.00 0.800000 16.120 1.000 0.545567
COST 4096 256 2 8 5.00 0.800000 16.120 1.000 0.721051
COST 4096 512 2 4 5.00 0.800000 16.120 1.000 0.552387
COST 4096 512 2 8 5.00 0.800000 16.120 1.000 0.709041
COST 4096 1024 2 4 5.00 0.800000 16.120 1.000 1.085635
COST 4096 1024 2 8 5.00 0.800000 16.120 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 25.150 1.000 1.046684
COST 4096 2048 2 8 5.00 1.000000 25.150 1.000 1.205904
COST 4096 64 2 4 5.00 0.999648 16.109 1.000 0.084709
COST 4096 64 2 8 5.00 0.999648 16.109 1.000 0.080835
COST 4096 128 2 4 5.00 1.000000 16.120 1.000 0.118781
COST 4096 128 2 8 5.00 1.000000 16.120 1.000 0.115148
COST 4096 256 2 4 5.00 1.000000 16.120 1.000 0.204968
COST 4096 256 2 8 5.00 1.000000 16.120 1.000 0.166932
COST 4096 512 2 4 5.00 1.000000 16.120 1.000 0.341520
COST 4096 512 2 8 5.00 1.000000 16.120 1.000 0.316259
COST 4096 1024 2 4 5.00 1.000000 16.120 1.000 0.841643
COST 4096 1024 2 8 5.00 1.000000 16.120 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 16.120 1.000 2.302504
COST 4096 2048 2 8 5.00 1.000000 16.120 1.000 2.347765
COST 4096 64 2 4 5.00 0.800000 32.122 1.000 0.876376
COST 4096 64 2 8 5.00 0.800000 32.122 1.000 1.099195
COST 4096 128 2 4 5.00 0.829780 34.534 1.000 0.596640
COST 4096 128 2 8 5.00 0.829780 34.534 1.000 0.724972
COST 4096 256 2 4 5.00 0.876782 38.523 1.000 0.754415
COST 4096 256 2 8 5.00 0.876782 38.523 1.000 0.561132
COST 4096 512 2 4 5.00 0.935696 43.843 1.000 1.290509
COST 4096 512 2 8 5.00 0.935696 43.843 1.000 1.017617
COST 4096 1024 2 4 5.00 0.983141 48.390 1.000 1.046343
COST 4096 1024 2 8 5.00 0.983141 48.390 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 50.063 1.000 2.087384
COST 4096 2048 2 8 5.00 1.000000 50.063 1.000 2.032914
COST 4096 64 2 4 5.00 0.784567 31.334 1.000 0.890642
COST 4096 64 2 8 5.00 0.784567 31.334 1.000 0.954032
COST 4096 128 2 4 5.00 0.800000 32.566 1.000 0.838241
COST 4096 128 2 8 5.00 0.800000 32.566 1.000 0.947334
COST 4096 256 2 4 5.00 0.855225 37.172 1.000 0.623921
COST 4096 256 2 8 5.00 0.855225 37.172 1.000 0.727684
COST 4096 512 2 4 5.00 0.924446 43.390 1.000 1.015639
COST 4096 512 2 8 5.00 0.924446 43.390 1.000 1.214656
COST 4096 1024 2 4 5.00 0.980191 48.764 1.000 0.761909
COST 4096 1024 2 8 5.00 0.980191 48.764 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 50.754 1.000 1.926658
COST 4096 2048 2 8 5.00 1.000000 50.754 1.000 2.085792
COST 4096 64 2 4 5.00 0.784246 31.342 1.000 0.849137
COST 4096 64 2 8 5.00 0.784246 31.342 1.000 0.909352
COST 4096 128 2 4 5.00 0.799690 32.576 1.000 1.092166
COST 4096 128 2 8 5.00 0.799690 32.576 1.000 0.883665
COST 4096 256 2 4 5.00 0.800000 32.601 1.000 1.051858
COST 4096 256 2 8 5.00 0.800000 32.601 1.000 1.161032
COST 4096 512 2 4 5.00 0.895625 40.784 1.000 1.163091
COST 4096 512 2 8 5.00 0.895625 40.784 1.000 0.950705
COST 4096 1024 2 4 5.00 0.972635 48.067 1.000 0.957514
COST 4096 1024 2 8 5.00 0.972635 48.067 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 50.806 1.000 2.208329
COST 4096 2048 2 8 5.00 1.000000 50.806 1.000 2.016002
COST 4096 64 2 4 5.00 0.784237 31.345 1.000 0.668959
COST 4096 64 2 8 5.00 0.784237 31.345 1.000 0.847625
COST 4096 128 2 4 5.00 0.799689 32.580 1.000 0.656854
COST 4096 128 2 8 5.00 0.799689 32.580 1.000 0.690869
COST 4096 256 2 4 5.00 0.800000 32.606 1.000 0.807060
COST 4096 256 2 8 5.00 0.800000 32.606 1.000 0.920162
COST 4096 512 2 4 5.00 0.800000 32.606 1.000 1.209339
COST 4096 512 2 8 5.00 0.800000 32.606 1.000 1.288686
COST 4096 1024 2 4 5.00 0.947564 45.631 1.000 0.973302
COST 4096 1024 2 8 5.00 0.947564 45.631 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 50.811 1.000 1.584675
COST 4096 2048 2 8 5.00 1.000000 50.811 1.000 1.581576
COST 4096 64 2 4 5.00 0.784233 31.347 1.000 0.535309
COST 4096 64 2 8 5.00 0.784233 31.347 1.000 0.511958
COST 4096 128 2 4 5.00 0.799689 32.583 1.000 0.532304
COST 4096 128 2 8 5.00 0.799689 32.583 1.000 0.427094
COST 4096 256 2 4 5.00 0.800000 32.608 1.000 0.539768
COST 4096 256 2 8 5.00 0.800000 32.608 1.000 0.590368
COST 4096 512 2 4 5.00 0.800000 32.608 1.000 0.654347
COST 4096 512 2 8 5.00 0.800000 32.608 1.000 0.756540
COST 4096 1024 2 4 5.00 0.800000 32.608 1.000 1.024080
COST 4096 1024 2 8 5.00 0.800000 32.608 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 50.799 1.000 0.981465
COST 4096 2048 2 8 5.00 1.000000 50.799 1.000 0.928743
COST 4096 64 2 4 5.00 0.980288 31.348 1.000 0.748553
COST 4096 64 2 8 5.00 0.980288 31.348 1.000 0.885716
COST 4096 128 2 4 5.00 0.999611 32.584 1.000 0.285322
COST 4096 128 2 8 5.00 0.999611 32.584 1.000 0.228525
COST 4096 256 2 4 5.00 1.000000 32.609 1.000 0.291103
COST 4096 256 2 8 5.00 1.000000 32.609 1.000 0.230510
COST 4096 512 2 4 5.00 1.000000 32.609 1.000 0.419691
COST 4096 512 2 8 5.00 1.000000 32.609 1.000 0.377747
COST 4096 1024 2 4 5.00 1.000000 32.609 1.000 1.140293
COST 4096 1024 2 8 5.00 1.000000 32.609 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.609 1.000 2.921509
COST 4096 2048 2 8 5.00 1.000000 32.609 1.000 2.372152
